"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.09731414701743e-81,0.254306102842026,0.394,0.341,6.29194244105228e-78,"Secretory","PLCE1"
3.70520414901512e-81,0.534888062600734,0.354,0.144,1.11156124470454e-77,"Secretory","P2RY6"
1.67242115344409e-80,0.424227015573427,0.45,0.342,5.01726346033226e-77,"Secretory","WEE1"
4.93875819905737e-79,0.273838994941505,0.411,0.341,1.48162745971721e-75,"Secretory","CKS2"
1.16676775092534e-76,0.434073994431583,0.441,0.309,3.50030325277603e-73,"Secretory","PTCHD4"
8.15381480106986e-76,0.468987723845325,0.498,0.364,2.44614444032096e-72,"Secretory","TRIB1"
5.13294712362413e-75,0.50114086976384,0.442,0.327,1.53988413708724e-71,"Secretory","CDC42EP4"
3.52113857214087e-72,0.867702953545706,0.42,0.191,1.05634157164226e-68,"Secretory","SLC5A5"
1.34602621561328e-71,0.332350857741662,0.344,0.234,4.03807864683985e-68,"Secretory","ASRGL1"
2.28659434839606e-69,0.486363355274868,0.457,0.356,6.85978304518817e-66,"Secretory","CHST9"
5.80080405063075e-69,1.30420191452742,0.328,0.115,1.74024121518923e-65,"Secretory","DMBT1"
1.88431466672617e-66,1.20653382062685,0.398,0.177,5.65294400017852e-63,"Secretory","AQP5"
6.06217563214172e-66,0.612430998670191,0.404,0.264,1.81865268964251e-62,"Secretory","CMYA5"
1.63134339729832e-64,0.317805503298077,0.375,0.303,4.89403019189497e-61,"Secretory","ADH1C"
3.16308733518483e-64,0.353068361167281,0.417,0.342,9.48926200555448e-61,"Secretory","SOX2"
2.11820401159831e-63,0.479242223127731,0.435,0.307,6.35461203479494e-60,"Secretory","AKR1C1"
1.39782266664656e-62,0.353632415292724,0.471,0.382,4.19346799993968e-59,"Secretory","TMC5"
2.54736282298412e-62,0.436080492550056,0.465,0.322,7.64208846895237e-59,"Secretory","SPTSSA"
4.61468677603203e-61,0.596564379571325,0.436,0.262,1.38440603280961e-57,"Secretory","PDZK1IP1"
1.16099543561378e-60,0.3978263757117,0.498,0.371,3.48298630684133e-57,"Secretory","BHLHE40"
1.49727842585649e-60,0.304028306365667,0.476,0.361,4.49183527756947e-57,"Secretory","LRRN1"
3.29024601546736e-60,0.420752743485344,0.397,0.248,9.87073804640208e-57,"Secretory","ARHGDIB"
2.98725439731344e-59,0.367884003272027,0.497,0.393,8.96176319194033e-56,"Secretory","MUC20"
3.97856794336854e-58,0.444659855979814,0.414,0.289,1.19357038301056e-54,"Secretory","FNIP2"
6.13791006802094e-58,0.527503430146034,0.439,0.376,1.84137302040628e-54,"Secretory","PLAAT4"
9.24402361466977e-58,0.70267352293994,0.372,0.195,2.77320708440093e-54,"Secretory","PHACTR3"
3.83401597220359e-56,0.440288557724472,0.428,0.311,1.15020479166108e-52,"Secretory","ARL5B"
7.95688481981838e-56,0.364478755522115,0.513,0.391,2.38706544594551e-52,"Secretory","DHCR24"
8.82616040890648e-56,0.39763532507276,0.514,0.394,2.64784812267194e-52,"Secretory","KLF6"
2.04349067852254e-55,0.374941284463196,0.393,0.273,6.13047203556763e-52,"Secretory","EIF2AK3"
5.01663492723715e-55,0.294708154654417,0.531,0.404,1.50499047817115e-51,"Secretory","PLK2"
1.17797450955011e-54,0.431473325630077,0.445,0.352,3.53392352865034e-51,"Secretory","MEIS2"
9.79070280120894e-54,0.728774421793674,0.37,0.166,2.93721084036268e-50,"Secretory","HLA-DPB1"
4.42975955741323e-53,0.394125015310228,0.398,0.285,1.32892786722397e-49,"Secretory","CDKN2AIP"
4.94022851638454e-53,0.54523266626548,0.442,0.224,1.48206855491536e-49,"Secretory","SLC4A4"
3.45873443545573e-52,0.412905907821203,0.488,0.368,1.03762033063672e-48,"Secretory","FOXC1"
1.15670156497017e-51,0.252150272755202,0.338,0.099,3.47010469491052e-48,"Secretory","FAM107A"
1.18805405586265e-51,0.270619408151852,0.392,0.272,3.56416216758796e-48,"Secretory","WNK2"
1.44615324063156e-51,0.469182410082497,0.473,0.349,4.33845972189468e-48,"Secretory","IDI1"
2.18337591247333e-51,0.33030394243477,0.508,0.39,6.55012773742e-48,"Secretory","FDPS"
2.79419570732632e-50,0.391027317619712,0.429,0.311,8.38258712197897e-47,"Secretory","DUSP6"
7.85074504573146e-49,0.307991689311171,0.484,0.37,2.35522351371944e-45,"Secretory","CPD"
1.91640685180102e-46,0.802365711046653,0.394,0.281,5.74922055540306e-43,"Secretory","TNFAIP2"
5.55765126820074e-46,0.544177024884865,0.371,0.154,1.66729538046022e-42,"Secretory","SHISA2"
1.59724063401486e-45,0.27097535281399,0.331,0.125,4.79172190204458e-42,"Secretory","APOBEC3A"
3.14131841165348e-45,0.432379976678856,0.485,0.396,9.42395523496043e-42,"Secretory","MUC4"
4.99734661700915e-45,0.497563027525893,0.332,0.187,1.49920398510275e-41,"Secretory","OAS1"
3.61024577244572e-44,0.357998472138711,0.437,0.353,1.08307373173372e-40,"Secretory","SLC12A2"
4.90664635034513e-43,0.322422883041542,0.414,0.295,1.47199390510354e-39,"Secretory","YPEL2"
1.40428201682101e-41,0.492159766534385,0.377,0.134,4.21284605046302e-38,"Secretory","SLC5A1"
2.69316048894199e-41,0.647925542342078,0.37,0.128,8.07948146682598e-38,"Secretory","NCCRP1"
3.21460687741599e-41,0.464541442299184,0.432,0.234,9.64382063224796e-38,"Secretory","IL20RB"
4.19087095868716e-41,0.439760681561409,0.382,0.188,1.25726128760615e-37,"Secretory","CREB3L1"
3.55175910243888e-40,0.287803566981431,0.29,0.113,1.06552773073166e-36,"Secretory","GLYATL2"
3.76055647663926e-40,0.434527884603337,0.344,0.197,1.12816694299178e-36,"Secretory","SOX21"
5.886584697265e-40,0.286593873522955,0.506,0.411,1.7659754091795e-36,"Secretory","C19orf33"
1.11787067718182e-39,0.261923321256815,0.405,0.355,3.35361203154545e-36,"Secretory","GCNT2"
2.16266525081775e-39,0.294810978585789,0.436,0.363,6.48799575245324e-36,"Secretory","LPIN1"
5.06126745914931e-39,0.527340167612456,0.321,0.178,1.51838023774479e-35,"Secretory","HMOX1"
5.42086750440492e-39,0.289021587245617,0.49,0.41,1.62626025132148e-35,"Secretory","H4C3"
6.61087612705206e-39,0.277896500420431,0.396,0.3,1.98326283811562e-35,"Secretory","ITGB3"
1.21844861740866e-38,0.383027613553254,0.469,0.373,3.65534585222598e-35,"Secretory","EGR1"
1.44323055132305e-38,0.276220795255416,0.299,0.107,4.32969165396915e-35,"Secretory","ATP6V1C2"
1.59288034812259e-38,0.33814022981205,0.437,0.35,4.77864104436777e-35,"Secretory","PFKFB3"
2.3639117968603e-38,0.257431974360091,0.497,0.391,7.09173539058089e-35,"Secretory","TAF1D"
2.62151178407657e-38,0.394438545579762,0.336,0.226,7.8645353522297e-35,"Secretory","LMCD1"
1.17185637104333e-36,0.342585664060193,0.401,0.326,3.51556911312998e-33,"Secretory","DENND3"
5.03987230187036e-35,0.335408418304541,0.339,0.181,1.51196169056111e-31,"Secretory","ATOH8"
7.09734201229611e-35,0.316987259514047,0.484,0.363,2.12920260368883e-31,"Secretory","ACAT2"
7.88772553262768e-34,0.585906971249327,0.38,0.21,2.3663176597883e-30,"Secretory","EREG"
1.79351355247127e-32,0.288022914065308,0.488,0.365,5.38054065741382e-29,"Secretory","FASN"
6.97807361550762e-32,0.335195521547685,0.491,0.398,2.09342208465229e-28,"Secretory","CCN1"
7.5348354428131e-31,0.32033199232839,0.332,0.201,2.26045063284393e-27,"Secretory","SLC7A11"
8.00521897814849e-31,0.300535759933332,0.459,0.371,2.40156569344455e-27,"Secretory","GALNT12"
5.4364017627291e-30,0.677686971914488,0.28,0.091,1.63092052881873e-26,"Secretory","STATH"
1.98224917748514e-29,0.464434056402456,0.44,0.351,5.94674753245541e-26,"Secretory","BTG2"
2.09398980720434e-29,0.407543976589137,0.444,0.377,6.28196942161301e-26,"Secretory","DHRS9"
5.24184326759637e-29,0.332022994873732,0.4,0.259,1.57255298027891e-25,"Secretory","KLK11"
